"individual","width_0.1","width_0.2","width_0.3","width_0.4","width_0.5","width_0.6","width_0.7","width_0.8","width_0.9","thickness_0.1","thickness_0.2","thickness_0.3","thickness_0.4","thickness_0.5","thickness_0.6","thickness_0.7","thickness_0.8","thickness_0.9"
"10296",48.6558003006,68.7957931422,81.7786811718,88.512866154,95.1869915154,92.09141856,89.9092523376,81.4158209628,55.692785871,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10351",54.7218220014,71.3433220578,83.5379275644,91.2430764162,98.522802954,100.8275909022,96.5808752148,81.4158209628,61.1532063954,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10358",28.5733645956,39.7970062326,49.5041424444,50.1097436208,49.5041424444,46.9566135288,41.7389339718,31.3035748578,16.7441217822,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10486",36.2785134474,52.1742930858,63.8834166576,68.6756739006,69.6466377702,70.494979914,66.0055232592,52.9625756088,41.4961930044,10.372797009,16.9868627496,21.4763194044,28.1504447658,32.3345983482,29.9697507792,25.3576723986,20.6279772606,16.9868627496
"10498",24.7520712222,35.9757128592,44.5292038548,52.05167136,57.8148924726,57.1492316754,55.3274231778,50.475106314,39.564275202,8.370809649,14.6820748014,20.0799332208,21.4162597836,21.1109567112,17.8977669984,17.1069819912,15.8332175334,11.2837012578
"10978",27.1794808962,47.5622147052,59.0886569304,68.4329329332,76.4408823732,80.5649763348,78.9884112888,69.2212154562,51.8089303926,9.0990325512,18.3206868282,22.5674025156,27.7850820726,28.3931857332,30.2124917466,26.3911983732,20.9908374696,16.441321194
"11080",30.818092923,40.7679701022,48.898541268,54.9645629688,58.9685376888,59.0285973096,55.3274231778,50.1723057258,39.7970062326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11697",33.9737254992,62.849890683,78.7456703214,88.5729257748,103.1348813346,105.9251512176,106.6533741198,97.1889788754,51.876497466,10.3127373882,20.1424953258,21.8391796134,22.447283274,25.9657760592,30.818092923,30.9407146488,27.9077037984,18.3206868282
"11701",33.608362806,47.5622147052,58.7257967214,68.1901919658,72.859827483,71.4659437836,65.8228419126,60.4249834932,47.3194737378,12.01192416,20.0198736,26.814118203,30.880655028,30.2124917466,29.604388086,26.9367399288,20.9307778488,15.2876759778
"11704",52.2944123274,63.8208545526,75.0444961896,77.1691052754,82.4468444532,86.8136793822,84.6915727806,78.2601883866,56.481068394,13.4683699644,17.3497229586,24.02384832,28.878667668,35.8530911334,35.0648086104,32.3971604532,28.1504447658,24.02384832
"11714",48.1703183658,64.7918184222,79.5940124652,88.938288468,93.1850041554,92.6995222206,89.4237704028,77.289224517,51.0206478696,11.649063951,20.7480965022,24.8721904638,28.7560459422,34.1564068458,34.2765260874,29.9697507792,24.9948121896,21.659000751
"11720",42.830017083,56.2383274266,68.3103112074,76.3182606474,82.2041034858,83.4778679436,78.865789563,71.5860630252,53.4480575436,10.798219323,19.4142724236,25.4802941244,30.3326109882,32.03179776,31.3035748578,28.6359267006,21.596438646,14.802194043
"11765",18.443308554,29.4842688444,38.7059231214,42.830017083,46.04570928,45.620286966,45.3800484828,41.7389339718,28.077872724,12.9828880296,17.9578266192,17.7150856518,17.8352048934,18.2005675866,17.4723446844,17.9578266192,15.9558392592,13.651051311
"11819",42.7098978414,56.5411280148,69.281275077,76.6836233406,82.2641631066,82.6295257998,80.4448570932,71.8288039926,53.7508581318,10.435359114,21.233578437,28.816105563,33.0027616296,33.9136658784,33.608362806,30.6979736814,25.7230350918,15.590476566
"11847",39.4341460236,55.379975346,61.9414889184,65.0345593896,66.6111244356,72.3142859274,70.3723581882,61.7588075718,47.4420954636,10.372797009,16.7441217822,25.237553157,31.668937551,34.459207434,34.7620080222,31.7289971718,29.241527877,18.5634277956
"11957",22.3246615482,32.357120706,46.7138725614,52.1742930858,53.6307388902,54.7218220014,53.2053165762,47.8049556726,35.435176272,8.6135506164,12.9228284088,18.2606272074,22.9928248296,23.1755061762,21.4162597836,18.2005675866,14.3792742132,9.2817138978
"12030",29.3616471186,37.9777002192,47.1993544962,56.6637497406,63.2152533762,69.4038968028,68.7957931422,63.8208545526,49.8670026534,8.2506904074,19.2916506978,23.4783067644,27.9077037984,28.7560459422,27.1794808962,25.9057164384,20.3226741882,12.01192416
"12043",34.0938447408,51.7488707718,76.500941994,85.4197956828,89.9092523376,91.3631956578,86.9963607288,79.2311522562,60.5451027348,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12109",18.6860495214,31.4261965836,47.0767327704,53.265376197,61.5160666044,56.1782678058,53.3879979228,47.9275773984,31.9116785184,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12113",26.9367399288,37.9777002192,47.8049556726,56.5411280148,60.5451027348,60.3023617674,59.8168798326,49.8670026534,39.0687833304,8.6135506164,12.7401470622,16.2586398474,19.657013391,22.1444826858,22.2045423066,21.3536976786,19.7771326326,12.9828880296
"12154",21.9618013392,29.241527877,37.249477317,41.7389339718,49.8670026534,53.5081171644,52.477093674,46.9566135288,35.7930315126,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12184",28.453245354,41.8590532134,50.475106314,63.9434762784,64.3063364874,61.8188671926,54.3564593082,45.620286966,32.2745387274,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12191",38.5232417748,51.3234484578,62.487030474,66.7337461614,74.2562136666,74.9844365688,75.1045558104,65.3999220828,50.5952255556,8.4934313748,14.7421344222,22.0819205808,28.9987869096,30.7580333022,29.241527877,23.9037290784,19.0489097304,13.588489206
"12197",27.4222218636,46.2283906266,56.05564608,63.700735311,70.1921793258,70.9804618488,66.491005194,61.0305846696,47.1993544962,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12200",37.3095369378,51.7488707718,63.275312997,70.2522389466,76.4408823732,81.1730799954,79.2311522562,70.0094979792,56.7838689822,7.645089231,14.1365332458,23.1755061762,27.9677634192,29.9697507792,30.9407146488,30.3326109882,26.451257994,18.2005675866
"12201",48.1703183658,64.06359552,70.3723581882,76.1981414058,81.293199237,84.3887721924,81.718621551,71.8913660976,54.9645629688,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12237",58.845915963,76.3182606474,81.4158209628,81.6585619302,84.3262100874,91.3631956578,86.873739003,76.07551968,62.4269708532,28.878667668,35.1874303362,47.3194737378,48.1703183658,46.471131594,46.2283906266,43.8610405734,47.622274326,28.9987869096
"12361",34.7620080222,51.3234484578,63.4579943436,71.5860630252,76.6836233406,80.5649763348,79.291211877,74.861814843,61.2132660162,9.4643952444,14.5594530756,20.9908374696,27.9677634192,27.5423411052,28.2105043866,29.4242092236,24.7520712222,19.594451286
"12418",54.1137183408,76.5610016148,89.7866306118,97.5518390844,102.0412957392,102.526777674,97.4317198428,84.3262100874,42.2244159066,9.3417735186,18.0779458608,26.7540585822,37.0067363496,43.8009809526,41.0107110696,37.674899631,31.243515237,18.01788624
"12548",30.5753519556,44.4090846132,53.5081171644,60.1822425258,65.5801009452,64.3063364874,62.2442895066,57.0866695704,46.833991803,11.8918049184,19.657013391,25.0548718104,28.7560459422,33.608362806,32.6999610414,29.241527877,21.9618013392,14.01391152
"12717",58.1176930608,75.2271775362,85.6625366502,89.6665113702,92.6394625998,89.301148677,86.9963607288,77.1691052754,52.2944123274,13.1655693762,21.7190603718,25.2976127778,27.1794808962,29.604388086,32.6399014206,31.1834556162,23.660988111,15.4703573244
"12724",20.2025549466,34.884629748,40.828029723,47.1993544962,51.5661894252,53.6307388902,52.7198346414,44.894566548,36.4011351732,4.9749385896,10.1325585258,15.5304169452,18.5634277956,20.0799332208,20.5654151556,22.1444826858,21.0508970904,14.5594530756
"12796",28.503295038,45.257426757,51.7488707718,53.8709773734,53.7508581318,53.0826948504,49.9896243792,41.7989935926,31.1834556162,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12800",36.2785134474,49.686823791,62.3644087482,71.0405214696,76.6210612356,78.140069145,75.5299781244,66.853865403,48.5331785748,10.1325585258,16.2586398474,19.7771326326,24.6319519806,23.9037290784,27.8451416934,28.453245354,22.447283274,14.2566524874
