 ,Label,BX,BY,Width,Height
1,Boxgrove_Iovita_1a.tif,0,0,1.387,1.934
2,Boxgrove_Iovita_2a.tif,0,0,1.155,2.003
3,Boxgrove_Iovita_3a.tif,0,0,1.472,2.225
4,Boxgrove_Iovita_4a.tif,0,0,1.581,2.51
5,Boxgrove_Iovita_5a.tif,0,0,1.31,1.89
6,Boxgrove_Iovita_6a.tif,0,0,1.724,2.671
7,Boxgrove_Iovita_7a.tif,0,0,2.063,3.43
8,Boxgrove_Iovita_8a.tif,0,0,1.641,2.629
9,Boxgrove_Iovita_9a.tif,0,0,1.603,2.273
10,Boxgrove_Iovita_10a.tif,0,0,1.986,2.966
11,Boxgrove_Iovita_11a.tif,0,0,1.506,2.395
12,Boxgrove_Iovita_12a.tif,0,0,1.149,1.405
13,Boxgrove_Iovita_13a.tif,0,0,1.06,1.637
14,Boxgrove_Iovita_14a.tif,0,0,2.033,2.98
15,Boxgrove_Iovita_15a.tif,0,0,1.331,2.154
16,Boxgrove_Iovita_16a.tif,0,0,1.197,1.462
17,Boxgrove_Iovita_17a.tif,0,0,1.266,2.322
18,Boxgrove_Iovita_18a.tif,0,0,1.668,2.344
19,Boxgrove_Iovita_19a.tif,0,0,1.25,1.472
20,Boxgrove_Iovita_20a.tif,0,0,1.664,2.655
21,Boxgrove_Iovita_21a.tif,0,0,1.795,2.469
22,Boxgrove_Iovita_22a.tif,0,0,2.021,2.932
23,Boxgrove_Iovita_23a.tif,0,0,1.486,2.023
24,Boxgrove_Iovita_24a.tif,0,0,1.141,1.692
25,Boxgrove_Iovita_25a.tif,0,0,1.555,1.962
26,Boxgrove_Iovita_26a.tif,0,0,1.981,2.978
27,Boxgrove_Iovita_27a.tif,0,0,1.302,1.987
28,Boxgrove_Iovita_28a.tif,0,0,1.07,1.51
29,Boxgrove_Iovita_29a.tif,0,0,1.185,1.547
30,Boxgrove_Iovita_30a.tif,0,0,1.769,2.869
31,Boxgrove_Iovita_31a.tif,0,0,0.969,1.44
32,Boxgrove_Iovita_32a.tif,0,0,1.635,2.683
33,Boxgrove_Iovita_33a.tif,0,0,1.883,3.053
34,Boxgrove_Iovita_34a.tif,0,0,1.69,2.241
35,Boxgrove_Iovita_35a.tif,0,0,1.345,1.946
36,Boxgrove_Iovita_36a.tif,0,0,1.096,1.728
37,Boxgrove_Iovita_37a.tif,0,0,1.631,2.176
38,Boxgrove_Iovita_38a.tif,0,0,1.51,2.108
39,Boxgrove_Iovita_39a.tif,0,0,1.799,2.736
40,Boxgrove_Iovita_40a.tif,0,0,1.916,3.002
41,Boxgrove_Iovita_41a.tif,0,0,1.742,2.748
42,Boxgrove_Iovita_42a.tif,0,0,1.446,2.166
43,Boxgrove_Iovita_43a.tif,0,0,1.888,2.94
44,Boxgrove_Iovita_44a.tif,0,0,1.246,1.767
45,Boxgrove_Iovita_45a.tif,0,0,1.308,1.718
46,Boxgrove_Iovita_46a.tif,0,0,1.565,2.431
47,Boxgrove_Iovita_47a.tif,0,0,1.476,1.946
48,Boxgrove_Iovita_48a.tif,0,0,1.684,2.524
49,Boxgrove_Iovita_49a.tif,0,0,1.752,2.617
50,Boxgrove_Iovita_50a.tif,0,0,1.977,2.982
1,Boxgrove_Iovita_51a.tif,0,0,1.924,2.986
2,Boxgrove_Iovita_52a.tif,0,0,1.347,2.257
3,Boxgrove_Iovita_53a.tif,0,0,1.335,2.059
4,Boxgrove_Iovita_54a.tif,0,0,1.266,1.954
5,Boxgrove_Iovita_55a.tif,0,0,1.373,2.071
6,Boxgrove_Iovita_56a.tif,0,0,1.452,2.267
7,Boxgrove_Iovita_57a.tif,0,0,1.633,2.229
8,Boxgrove_Iovita_58a.tif,0,0,1.71,3.037
9,Boxgrove_Iovita_59a.tif,0,0,1.401,2.09
10,Boxgrove_Iovita_60a.tif,0,0,1.355,2.059
11,Boxgrove_Iovita_61a.tif,0,0,1.518,2.473
12,Boxgrove_Iovita_62a.tif,0,0,1.147,1.373
13,Boxgrove_Iovita_63a.tif,0,0,1.369,2.092
14,Boxgrove_Iovita_64a.tif,0,0,1.141,1.688
15,Boxgrove_Iovita_65a.tif,0,0,1.597,2.51
16,Boxgrove_Iovita_66a.tif,0,0,1.26,2.061
17,Boxgrove_Iovita_67a.tif,0,0,1.356,2.368
18,Boxgrove_Iovita_68a.tif,0,0,1.633,2.663
19,Boxgrove_Iovita_69a.tif,0,0,1.601,2.687
20,Boxgrove_Iovita_70a.tif,0,0,1.742,3.339
21,Boxgrove_Iovita_71a.tif,0,0,1.797,2.392
22,Boxgrove_Iovita_72a.tif,0,0,1.276,1.908
23,Boxgrove_Iovita_73a.tif,0,0,1.718,2.661
24,Boxgrove_Iovita_74a.tif,0,0,1.581,2.285
25,Boxgrove_Iovita_75a.tif,0,0,1.397,2.243
26,Boxgrove_Iovita_76a.tif,0,0,1.407,1.981
27,Boxgrove_Iovita_77a.tif,0,0,1.003,1.407
28,Boxgrove_Iovita_78a.tif,0,0,1.868,3.142
29,Boxgrove_Iovita_79a.tif,0,0,1.458,2.32
30,Boxgrove_Iovita_80a.tif,0,0,1.639,2.338
31,Boxgrove_Iovita_81a.tif,0,0,1.516,2.421
32,Boxgrove_Iovita_82a.tif,0,0,0.834,0.723
33,Boxgrove_Iovita_83a.tif,0,0,1.672,2.461
34,Boxgrove_Iovita_84a.tif,0,0,1.872,2.778
35,Boxgrove_Iovita_85a.tif,0,0,1.125,1.801
36,Boxgrove_Iovita_86a.tif,0,0,1.583,2.122
37,Boxgrove_Iovita_87a.tif,0,0,1.936,3.382
38,Boxgrove_Iovita_88a.tif,0,0,1.868,2.956
39,Boxgrove_Iovita_89a.tif,0,0,1.75,2.691
40,Boxgrove_Iovita_90a.tif,0,0,1.254,1.797
41,Boxgrove_Iovita_91a.tif,0,0,1.718,3.142
42,Boxgrove_Iovita_92a.tif,0,0,1.659,2.758
43,Boxgrove_Iovita_93a.tif,0,0,1.637,2.512
44,Boxgrove_Iovita_94a.tif,0,0,1.639,2.461
45,Boxgrove_Iovita_95a.tif,0,0,1.629,2.734
46,Boxgrove_Iovita_96a.tif,0,0,1.438,2.037
47,Boxgrove_Iovita_97a.tif,0,0,1.613,2.037
48,Boxgrove_Iovita_98a.tif,0,0,1.494,2.427
49,Boxgrove_Iovita_99a.tif,0,0,1.763,2.661
50,Boxgrove_Iovita_100a.tif,0,0,1.353,2.076
1,Boxgrove_Iovita_101a.tif,0,0,0.812,1.189
2,Boxgrove_Iovita_102a.tif,0,0,1.635,2.253
3,Boxgrove_Iovita_103a.tif,0,0,1.538,2.104
4,Boxgrove_Iovita_104a.tif,0,0,1.71,2.239
5,Boxgrove_Iovita_105a.tif,0,0,1.405,2.1
6,Boxgrove_Iovita_106a.tif,0,0,2.083,3.218
7,Boxgrove_Iovita_107a.tif,0,0,2.09,3.222
8,Boxgrove_Iovita_108a.tif,0,0,1.518,2.193
9,Boxgrove_Iovita_109a.tif,0,0,1.221,2.104
10,Boxgrove_Iovita_110a.tif,0,0,2.257,2.518
11,Boxgrove_Iovita_111a.tif,0,0,1.236,1.672
12,Boxgrove_Iovita_112a.tif,0,0,1.395,1.997
13,Boxgrove_Iovita_113a.tif,0,0,1.96,3.313
14,Boxgrove_Iovita_114a.tif,0,0,1.7,2.901
15,Boxgrove_Iovita_115a.tif,0,0,0.693,0.886
16,Boxgrove_Iovita_116a.tif,0,0,2.142,3.176
17,Boxgrove_Iovita_117a.tif,0,0,1.141,1.435
18,Boxgrove_Iovita_118a.tif,0,0,1.036,1.387
19,Boxgrove_Iovita_119a.tif,0,0,1.807,2.08
20,Boxgrove_Iovita_120a.tif,0,0,1.143,1.484
21,Boxgrove_Iovita_121a.tif,0,0,1.935,3.188
22,Boxgrove_Iovita_122a.tif,0,0,1.359,2.134
23,Boxgrove_Iovita_123a.tif,0,0,1.73,2.798
24,Boxgrove_Iovita_124a.tif,0,0,1.799,2.81
25,Boxgrove_Iovita_125a.tif,0,0,1.964,3.388
26,Boxgrove_Iovita_126a.tif,0,0,1.662,2.843
27,Boxgrove_Iovita_127a.tif,0,0,1.3,2.071
28,Boxgrove_Iovita_128a.tif,0,0,1.609,2.504
29,Boxgrove_Iovita_129a.tif,0,0,1.72,2.754
30,Boxgrove_Iovita_130a.tif,0,0,1.127,1.423
31,Boxgrove_Iovita_131a.tif,0,0,1.609,2.657
32,Boxgrove_Iovita_132a.tif,0,0,1.668,2.527
33,Boxgrove_Iovita_133a.tif,0,0,1.989,2.855
34,Boxgrove_Iovita_134a.tif,0,0,1.567,2.403
35,Boxgrove_Iovita_135a.tif,0,0,1.627,2.792
36,Boxgrove_Iovita_136a.tif,0,0,1.761,2.954
37,Boxgrove_Iovita_137a.tif,0,0,1.256,1.654
38,Boxgrove_Iovita_138a.tif,0,0,2.146,3.087
39,Boxgrove_Iovita_139a.tif,0,0,1.48,1.597
40,Boxgrove_Iovita_140a.tif,0,0,1.038,1.668
41,Boxgrove_Iovita_141a.tif,0,0,1.183,1.629
42,Boxgrove_Iovita_142a.tif,0,0,2.146,3.471
43,Boxgrove_Iovita_143a.tif,0,0,1.365,1.952
44,Boxgrove_Iovita_144a.tif,0,0,1.637,2.644
45,Boxgrove_Iovita_145a.tif,0,0,1.593,2.596
46,Boxgrove_Iovita_146a.tif,0,0,1.377,2.027
47,Boxgrove_Iovita_147a.tif,0,0,1.658,2.744
48,Boxgrove_Iovita_148a.tif,0,0,1.639,2.703
49,Boxgrove_Iovita_149a.tif,0,0,1.357,1.93
50,Boxgrove_Iovita_150a.tif,0,0,1.401,2.126
1,Boxgrove_Iovita_151a.tif,0,0,1.932,2.855
2,Boxgrove_Iovita_152a.tif,0,0,1.003,1.736
3,Boxgrove_Iovita_153a.tif,0,0,1.997,2.782
4,Boxgrove_Iovita_154a.tif,0,0,1.884,2.934
5,Boxgrove_Iovita_155a.tif,0,0,1.139,1.645
6,Boxgrove_Iovita_156a.tif,0,0,1.155,1.704
7,Boxgrove_Iovita_157a.tif,0,0,1.742,2.873
8,Boxgrove_Iovita_158a.tif,0,0,1.573,2.651
9,Boxgrove_Iovita_159a.tif,0,0,2.199,3.523
10,Boxgrove_Iovita_160a.tif,0,0,1.684,2.429
11,Boxgrove_Iovita_161a.tif,0,0,1.264,1.888
12,Boxgrove_Iovita_162a.tif,0,0,1.785,2.709
13,Boxgrove_Iovita_163a.tif,0,0,1.843,3.261
14,Boxgrove_Iovita_164a.tif,0,0,1.324,2.045
15,Boxgrove_Iovita_165a.tif,0,0,1.781,2.554
16,Boxgrove_Iovita_166a.tif,0,0,1.757,2.879
17,Boxgrove_Iovita_167a.tif,0,0,1.298,2.146
18,Boxgrove_Iovita_168a.tif,0,0,1.932,2.958
19,Boxgrove_Iovita_169a.tif,0,0,1.843,2.756
20,Boxgrove_Iovita_170a.tif,0,0,1.286,2.011
21,Boxgrove_Iovita_171a.tif,0,0,1.385,2.237
22,Boxgrove_Iovita_172a.tif,0,0,1.615,2.78
23,Boxgrove_Iovita_173a.tif,0,0,1.549,2.695
24,Boxgrove_Iovita_174a.tif,0,0,1.452,2.073
25,Boxgrove_Iovita_175a.tif,0,0,1.551,2.253
26,Boxgrove_Iovita_176a.tif,0,0,1.723,2.722
27,Boxgrove_Iovita_177a.tif,0,0,1.682,2.596
28,Boxgrove_Iovita_178a.tif,0,0,1.078,1.781
29,Boxgrove_Iovita_179a.tif,0,0,1.852,2.968
30,Boxgrove_Iovita_180a.tif,0,0,1.561,2.384
1,Boxgrove_Iovita_181a.tif,0,0,1.714,3.121
32,Boxgrove_Iovita_182a.tif,0,0,1.177,1.845
33,Boxgrove_Iovita_183a.tif,0,0,1.969,2.974
34,Boxgrove_Iovita_184a.tif,0,0,1.84,2.934
35,Boxgrove_Iovita_185a.tif,0,0,1.312,1.771
36,Boxgrove_Iovita_186a.tif,0,0,2.013,3.156
37,Boxgrove_Iovita_187a.tif,0,0,1.783,2.974
38,Boxgrove_Iovita_188a.tif,0,0,2.017,3.006
39,Boxgrove_Iovita_189a.tif,0,0,1.645,2.663
40,Boxgrove_Iovita_190a.tif,0,0,1.561,2.52
41,Boxgrove_Iovita_191a.tif,0,0,1.351,2.189
42,Boxgrove_Iovita_192a.tif,0,0,1.785,2.998
43,Boxgrove_Iovita_193a.tif,0,0,1.678,2.827
44,Boxgrove_Iovita_194a.tif,0,0,1.658,3.028
45,Boxgrove_Iovita_195a.tif,0,0,1.014,1.631
46,Boxgrove_Iovita_196a.tif,0,0,1.502,2.209
47,Boxgrove_Iovita_197a.tif,0,0,1.728,2.96
48,Boxgrove_Iovita_198a.tif,0,0,1.609,2.705
49,Boxgrove_Iovita_199a.tif,0,0,1.763,3.053
